subject,layer,context_length,separate_model,cross_modality,unified_model,var_explained_prod,var_explained_comp,var_explained_intersection,weightcorr_linguistic_voxels,weightcorr_cross_voxels,weightcorr_prod_voxels,weightcorr_comp_voxels,weightcorr_bimodal_voxels,weightcorr_uni_vs_prod,weightcorr_uni_vs_comp
1E+00,1.8E+01,2E+00,3.68975834037152E-02,4.12803829400811E-03,4.18785036406628E-02,3.16204427204925E-02,2.25257678757997E-02,1.71857163094884E-02,9.98170733479863E-02,2.46067217747644E-01,1.20474893518224E-01,8.74178554959192E-02,7.55959189538874E-02,6.17576415035185E-01,6.52047799632136E-01
1E+00,2.1E+01,2E+00,3.80608824888185E-02,4.00097249269897E-03,4.23184197417734E-02,3.20896608511564E-02,2.21482274066228E-02,1.79800609989846E-02,9.89075020986004E-02,2.46517539725459E-01,1.15428497047801E-01,9.1509177771728E-02,7.6187504140462E-02,6.25528960418576E-01,6.50137152154201E-01
1E+00,2.4E+01,2E+00,3.93075347742158E-02,5.00961624195276E-03,4.2505074896895E-02,3.23999421386702E-02,2.35711959918467E-02,1.78995406893709E-02,1.02326398482519E-01,2.45646222334197E-01,1.19143253046122E-01,9.45289453909365E-02,7.80368445469451E-02,6.20938884554178E-01,6.63961533334417E-01
1E+00,2.7E+01,2E+00,3.98850623064952E-02,5.25406382595571E-03,4.25432679482509E-02,3.29157914462549E-02,2.38515739433985E-02,1.78428770290038E-02,1.07920924838492E-01,2.50660187114571E-01,1.25701390905197E-01,9.9954911629652E-02,8.2051231874734E-02,6.21909334164575E-01,6.74071352444861E-01
1E+00,3E+01,2E+00,3.91598534750307E-02,4.56732110554668E-03,4.10238215133816E-02,3.30173588251155E-02,2.14132899599754E-02,1.78975324522275E-02,1.07395118288204E-01,2.53617474994473E-01,1.21693950640466E-01,1.0436452892408E-01,8.0630383485941E-02,6.3172756284036E-01,6.64755481869702E-01
1E+00,3.3E+01,2E+00,3.72503606333373E-02,3.48957546393511E-03,3.90659393984655E-02,3.28679170029443E-02,2.04015038413084E-02,1.80012585861798E-02,1.01354257488223E-01,2.52061585510156E-01,1.1675419161326E-01,9.61313150523255E-02,7.66847271734657E-02,6.26152598202746E-01,6.59499434085357E-01
1E+00,3.6E+01,2E+00,3.32019474156517E-02,6.73176821334672E-04,3.44166438819284E-02,3.13703059964218E-02,1.85831542796736E-02,1.75927939783339E-02,1.11504093317784E-01,2.65906620049221E-01,1.25216446633177E-01,1.10255650149143E-01,8.8400358415487E-02,6.36823348696794E-01,6.61130125434569E-01
1E+00,0E+00,4E+00,2.23529050759358E-02,-9.72992541409957E-04,2.91291091452699E-02,2.32093479540452E-02,1.53659029487842E-02,1.47935247730253E-02,7.10531963455884E-02,2.4369024211531E-01,9.05287267078116E-02,5.19428128090298E-02,6.13921542947016E-02,6.21091328840085E-01,6.29214532105498E-01
1E+00,3E+00,4E+00,2.66049507594229E-02,4.23980387931275E-03,3.79875653192328E-02,2.49350235798398E-02,1.81773440475352E-02,1.65529849131428E-02,9.18395092596593E-02,2.58206518812449E-01,1.12957346729428E-01,7.92811895728365E-02,7.40012055084854E-02,5.97396556641971E-01,5.92271781490818E-01
1E+00,6E+00,4E+00,3.0690896585843E-02,4.48643080156645E-03,4.22347658472484E-02,2.75936671263103E-02,1.96776862417453E-02,1.74967820015556E-02,9.17198135625123E-02,2.46430721784985E-01,1.13567790232051E-01,7.8762222996647E-02,6.99828567704351E-02,5.98604183733443E-01,5.93536607056087E-01
1E+00,9E+00,4E+00,3.37181145769931E-02,5.67856232466321E-03,4.41552332891076E-02,2.82175158740792E-02,2.1118325189734E-02,1.87481821782579E-02,9.33172645117412E-02,2.45001333788777E-01,1.1226714670363E-01,8.6340469180428E-02,7.01104598150071E-02,5.94682281320187E-01,6.04159513244148E-01
1E+00,1.2E+01,4E+00,3.49775955834508E-02,6.02868472595752E-03,4.53779995565775E-02,2.8715905526833E-02,2.26493222807372E-02,1.90000773818303E-02,9.45614717943169E-02,2.44482711003174E-01,1.16781667049614E-01,8.68642321499487E-02,6.67733420586208E-02,5.94150210570917E-01,6.16694732790628E-01
1E+00,1.5E+01,4E+00,3.78689884880119E-02,7.89439832114822E-03,4.73897732673465E-02,2.97829485480394E-02,2.5375381969043E-02,1.95295132784975E-02,9.89011628908027E-02,2.40314070202453E-01,1.20848495772911E-01,9.09712993073123E-02,7.09499454517513E-02,5.88440478435244E-01,6.3075821412411E-01
1E+00,1.8E+01,4E+00,3.88267920004258E-02,8.0506718782706E-03,4.82292081574035E-02,3.02937249536399E-02,2.56242227487175E-02,2.02805558140761E-02,9.82661077986972E-02,2.4019402659075E-01,1.17029464599901E-01,9.2746149973161E-02,7.29104386667549E-02,5.93320700190111E-01,6.21777324775935E-01
1E+00,2.1E+01,4E+00,4.01459529050846E-02,8.70169061663561E-03,4.79341300072138E-02,3.08869119528013E-02,2.63672382370162E-02,2.04814645958579E-02,9.93524410695283E-02,2.41524026648859E-01,1.18454588188266E-01,9.37507587545123E-02,7.32885550252296E-02,5.91290028204879E-01,6.32470378020276E-01
1E+00,2.4E+01,4E+00,4.09886128713006E-02,9.59286681492613E-03,4.77145255737825E-02,3.19103868580366E-02,2.71398128763149E-02,1.93266181985854E-02,1.01407067826015E-01,2.40409982082806E-01,1.18820721599384E-01,9.92415334883011E-02,7.0564358899551E-02,6.0304877623494E-01,6.32736797012118E-01
1E+00,2.7E+01,4E+00,4.05720566494484E-02,1.09147493528094E-02,4.7478703018373E-02,3.27648637018397E-02,2.6310624987804E-02,1.99779033843847E-02,1.06321479545026E-01,2.43228954470384E-01,1.22255139311201E-01,1.03044903380658E-01,7.90447369225417E-02,5.99320096538771E-01,6.31781384899389E-01
1E+00,3E+01,4E+00,4.0291586002096E-02,1.0724194475145E-02,4.58596970041201E-02,3.22582242324991E-02,2.57668888300451E-02,1.91156681705566E-02,1.06330674251563E-01,2.49012904874474E-01,1.24568406847693E-01,1.03142148283869E-01,7.624182499746E-02,6.13360871765575E-01,6.3760070785341E-01
1E+00,3.3E+01,4E+00,3.88150885672727E-02,1.03358339702939E-02,4.38126935394477E-02,3.2553019933524E-02,2.45291533948357E-02,1.88535881385114E-02,1.05533413846606E-01,2.50916450551842E-01,1.22889710155059E-01,1.03811317201725E-01,7.4248533048536E-02,6.15594895076594E-01,6.32962431213216E-01
1E+00,3.6E+01,4E+00,3.41365609874287E-02,5.98867846126637E-03,3.81733777009339E-02,3.0083329136976E-02,2.10114601860062E-02,1.78940188045359E-02,1.12940733491485E-01,2.7302753067229E-01,1.2665823412584E-01,1.14188227533787E-01,8.73457687673327E-02,6.20936100738565E-01,6.39331693338147E-01
1E+00,0E+00,8E+00,2.7873326431447E-02,7.39728879445858E-03,4.15792167621704E-02,3.08669899893905E-02,1.57225208861772E-02,1.53547288026505E-02,8.07695860323895E-02,2.37550732004008E-01,1.03364844750431E-01,5.14505148111603E-02,6.02317198396917E-02,6.21688854483832E-01,6.18337395117394E-01
1E+00,3E+00,8E+00,3.32898451681489E-02,1.53595761785073E-02,5.2930188532572E-02,3.21905294824026E-02,2.06453209840741E-02,1.84310139485143E-02,1.05954914908474E-01,2.45909947771841E-01,1.26624815256669E-01,9.83771712529351E-02,7.06323045264617E-02,5.83181429252803E-01,6.05500585559676E-01
1E+00,6E+00,8E+00,3.82427895423939E-02,1.8947037981346E-02,5.71189758493579E-02,3.5841308348867E-02,2.27777998764046E-02,2.08483375523062E-02,1.11050559892635E-01,2.36075746048084E-01,1.2827442716381E-01,1.09909349235231E-01,7.32399247377792E-02,5.73455469407839E-01,5.95799732506375E-01
1E+00,9E+00,8E+00,4.1154097132329E-02,2.02023638519697E-02,5.83588118167193E-02,3.73423002069937E-02,2.42834548290518E-02,2.15029164309616E-02,1.1223713497228E-01,2.36088122905356E-01,1.28673907758719E-01,1.14714120505218E-01,7.01826170932268E-02,5.82592014213743E-01,6.02211523669031E-01
1E+00,1.2E+01,8E+00,4.31868695263185E-02,2.06828749339489E-02,5.98273341602049E-02,3.86473488647998E-02,2.5631594792625E-02,2.21316184239609E-02,1.11138634296805E-01,2.31070908168855E-01,1.28663810249413E-01,1.12339605777888E-01,6.97062355747024E-02,5.73643403719725E-01,6.14133133610881E-01
1E+00,1.5E+01,8E+00,4.5935130987848E-02,2.16965213232297E-02,6.18814149589124E-02,4.05247106210845E-02,2.59452216113057E-02,2.41687097090817E-02,1.10884908520194E-01,2.22628522828998E-01,1.23796972622525E-01,1.16865692914542E-01,7.31317943602546E-02,5.80827594240795E-01,6.11623697427306E-01
1E+00,1.8E+01,8E+00,4.65475997180603E-02,2.19852123294519E-02,6.24356568354102E-02,3.98605288685791E-02,2.78261258745052E-02,2.36514079023377E-02,1.0899284637142E-01,2.20673095394897E-01,1.21832414227261E-01,1.1340880033217E-01,7.28004210636505E-02,5.76396927382141E-01,6.11601579395171E-01
1E+00,2.1E+01,8E+00,4.6933857080159E-02,2.19372979160696E-02,6.11885991585962E-02,4.01339877102047E-02,2.64196110116282E-02,2.44468974786022E-02,1.08302599167772E-01,2.19799964534789E-01,1.18760279719789E-01,1.15192877354153E-01,7.51339046346743E-02,5.87981221616347E-01,6.07795209666064E-01
1E+00,2.4E+01,8E+00,4.66104547972205E-02,2.26038602743442E-02,6.08507381811991E-02,4.0275433251905E-02,2.78879021256536E-02,2.33870964428018E-02,1.08632577096211E-01,2.19055579274443E-01,1.20710902915521E-01,1.11742793835866E-01,7.35933261207672E-02,5.87532281334504E-01,6.156248345838E-01
1E+00,2.7E+01,8E+00,4.6581700356818E-02,2.42910458736681E-02,6.05564363861141E-02,4.10732783949027E-02,2.79964633368969E-02,2.20304258930356E-02,1.159087519572E-01,2.27445056822982E-01,1.30278158285641E-01,1.17817923131773E-01,7.51545703510993E-02,5.92590572423255E-01,6.20607447277102E-01
1E+00,3E+01,8E+00,4.53822689141382E-02,2.35885476202457E-02,5.82758568485344E-02,3.93957100839114E-02,2.598919196955E-02,2.16662361029298E-02,1.13855145305492E-01,2.33088892695238E-01,1.25552646535809E-01,1.20271758931921E-01,7.57007512178894E-02,6.07789298910126E-01,6.18308616622347E-01
1E+00,3.3E+01,8E+00,4.3008908763592E-02,2.28381544708497E-02,5.65858682481863E-02,3.80209548346141E-02,2.59391013159374E-02,2.21151964714626E-02,1.1142416795915E-01,2.34836831596393E-01,1.26116324575482E-01,1.12713638837708E-01,7.64775158792724E-02,5.98209612553428E-01,6.13846302742639E-01
1E+00,3.6E+01,8E+00,3.69393908815241E-02,1.66020184047419E-02,4.93009689706132E-02,3.32728238485748E-02,2.26582533611631E-02,2.11786246782157E-02,1.13567978877816E-01,2.52017798432112E-01,1.231647677868E-01,1.20978196221352E-01,8.67987139866813E-02,5.99618294756104E-01,6.05387281350151E-01
1E+00,0E+00,1.6E+01,4.87983842902206E-02,2.72146885065068E-02,6.81221867907346E-02,4.69705244006112E-02,1.95956154434396E-02,2.35291749793941E-02,1.36047765773973E-01,2.38860522306563E-01,1.54597306753345E-01,1.08869358149442E-01,1.03811869066555E-01,6.49371654651268E-01,6.38592232189814E-01
1E+00,3E+00,1.6E+01,6.03004580617967E-02,3.86540182597299E-02,8.07865417174568E-02,4.89327923477616E-02,2.77873583825985E-02,3.36578897870939E-02,1.57760563676928E-01,2.40935960400949E-01,1.75785878317338E-01,1.46094075007339E-01,1.28761498299658E-01,6.14645683212866E-01,6.32004207728008E-01
1E+00,6E+00,1.6E+01,6.61367630712493E-02,4.04203990836644E-02,8.27790018288549E-02,5.13474679881424E-02,2.56083462283285E-02,3.80308916908754E-02,1.54147564706951E-01,2.3280778817357E-01,1.66731820487919E-01,1.48773462320766E-01,1.32435536265271E-01,6.09694673116166E-01,6.08330424897472E-01
1E+00,9E+00,1.6E+01,6.879720927453E-02,4.15459248230476E-02,8.50276452748157E-02,5.37519448618355E-02,2.80285940238044E-02,3.86668840809338E-02,1.53778815029069E-01,2.27279971559257E-01,1.6797251249387E-01,1.46124723109464E-01,1.29188472528762E-01,6.07116266106456E-01,6.09248929270899E-01
